,domain_name,y_idx,text
22,airline,0,@USAirways won't waive $200 fee due to #neptune. Can't use credit w/o paying fee. Couldnt get to destination to use their tic #waivethefee
23,airline,1,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”
24,airline,1,@AmericanAir thank you. They are processing my refund.
25,airline,0,"@USAirways its fine. 

Just wondering where my money went..."
26,airline,0,"@AmericanAir on plane for JFK-&gt;SFO, been sitting here for 1.5 hours waiting for push crew, how is this acceptable?"
27,airline,0,"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights."
28,airline,1,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
29,airline,1,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
30,airline,0,@USAirways just informed of three hour delay. Pick up the phone and get me on another flight!
31,airline,0,@AmericanAir  thanks for making the worst fly experience ever. Will never book again with your airline. Train your flight attendants better.
32,airline,0,"@SouthwestAir right but the point was that my kids don't fly often, but I do. I bought four round trip tickets from DtW to PHX so I'm...."
33,airline,0,@united actually we aren't. Still parked here.
34,airline,0,@JetBlue they are now being sent off the plane? Does anyone at JetBlue have a clue?
35,airline,0,@united UA7985 is a coshared flight w/ ANA. Unable to check in 24 hrs prior.
36,airline,0,@USAirways thank you so much for asking us to pay $700 to switch to a different flight so I could spend more time with my dying nephew.
37,airline,0,@AmericanAir flight 1081 from IAD to LAX sat for more than 3hrs because ground crew couldn't drive in snow #badmgmt #AmericanAirlines
38,airline,0,@USAirways no your not!
39,airline,0,@SouthwestAir why is customer relations still not open....in Texas?!
40,airline,0,"@AmericanAir @sa_craig no, not helped one bit. actually ended up driving home due to extreme disorganization and lack of communication."
41,airline,0,"@Usairways thanks for making miss connection, getting rebooked, missing that too, and a miserable day. Started my day @ 4:30am for nothing!"
42,airline,1,@united thnx
43,airline,0,@JetBlue no. Please stop.
44,airline,0,@AmericanAir I can't choose a seat online because I booked on @priceline ??? #SMH
45,airline,0,@USAirways Hooray! I've now been on hold for over an hour. I've never loved Southwest more.
46,airline,0,"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports"
47,airline,0,@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines
48,airline,0,@AmericanAir @ArminRosen @ggreenwald Tell that piece of shit to get fucked... I'll fly exclusively with you for life...
49,airline,1,"@united we got it, thanks."
50,airline,0,@USAirways now after an hour on the plane and knowing of a maint issue ahead of time they just announced another 30 mins. Y r we on plane?
51,airline,0,@united @JMS2802 : nothing like supporting your own mechanics and maintenance workers...instead United puts out a video of TIMCO doing wifi.
52,airline,0,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
53,airline,1,“@JetBlue: Our fleet's on fleek. http://t.co/vOUUFRN4jS” YASSS JetBlue ! Tell them !
54,airline,0,@AmericanAir how about some rampers at gate b40 dfw?   Waiting to be marshaled in
55,airline,0,@USAirways What a great way to kick someone when they are down. Cancelled Flight a noon flight and rebook me on one two hours south from here tomorrow
56,airline,1,"@AmericanAir thx, just sent the DM"
57,airline,0,"@AmericanAir Hey you Cancelled Flightled my flight, and I can't get someone on the phone to rebook (2 hour wait minimum). Can I get some service?"
58,airline,0,"@AmericanAir complt incompetence on flt 295.Lav delay from a pln that lnded last nite, no internet and poor svc. Not what I expect from u."
59,airline,0,"@united First complaint filed on Feb 11th, over 10 days now and still no response....disappointed but not surprised...."
60,airline,0,@SouthwestAir Trying to add my dog on the flight but can't get through.
61,airline,0,"@JetBlue dropping passengers with small baby and 3 infants at your San Juan terminal. As unloading baby, officer writes me ticket for $75"
62,airline,1,@SouthwestAir  Just sent DM. Thanks for your attentiveness to this matter.
63,airline,0,@USAirways is there a # or a time bracket I can call to fix this problem?I've been attempting to fix this contact information issue for days
64,airline,0,"@SouthwestAir - I get that weather delays are not in your hands, but is there nothing else you can offer for the massive inconvenience?"
65,airline,0,"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service."
66,airline,0,@united when is my plane coming?  Been delayed for almost 7 hours. No plane.
67,airline,0,@AmericanAir Flight Cancelled Flighted 2nd time. Can't reach agent to reschedule. Can you call me?
68,airline,0,@SouthwestAir thinks that a $100 voucher makes up for spending 4 hrs on a plane and landing at the same airport we took off from. Really?
69,airline,0,"@USAirways why aren't twitter and reservations connected? What do people want? Reservations, duh?!?!"
70,airline,0,@united @perfectomobile huh?  I have sent 16 crash reports in Feb alone.  8 in one day.  Only app I have that consistently crashes.
71,airline,0,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
72,airline,0,@USAirways I've flown 6 figured worth of miles in my lifetime.  This was my first and last ever flight on US Airways
73,airline,0,@USAirways @stephenrodrick Your team needs to build capacity
74,airline,0,@USAirways your lack of customer service has shined. I need you to step up and get my lost baggage to delta. So they can return it to me.
75,airline,1,@JetBlue my flight attendant Angel was awesome. #415 #kudos
76,airline,0,@AmericanAir re-staff and commence new policies because your industry is so embarrassed by you.
77,airline,0,"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days."
78,airline,0,@AmericanAir how can I get you guys to respond to my tweets and DM??? Really sad feeling to be ignored.
79,airline,0,@JetBlue why 730 and not 645 as scheduled?
80,airline,0,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!"
81,airline,1,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons
82,airline,0,@usairways hopefully your crappy service improves as u become @americanairlines #angryairtravel #winterstorm
83,airline,0,@AmericanAir while I'm aggravated - shouldn't baggage fees disappear now that gas prices have dropped?
84,airline,0,"@AmericanAir your gate agents at DFW gate B16 are pathetic tonight.  Terrible communication, stories changing and apathetic"
85,airline,0,@JetBlue That's not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.
86,airline,0,"@USAirways @AmericanAir me after arriving at 8:41am for a flight scheduled to depart at 8:57am. doors closed, no agents"
87,airline,0,"@usairways HI again! How you suggested I contacted u via phone, sent a mail with the original ticket &amp; the result: http://t.co/214i0RTIH4"
88,airline,0,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
89,airline,1,@SouthwestAir @PaytonTaylor129 I love Southwest and Payton Taylor!
90,airline,0,"@USAirways I promise, if I can help it I will nvr fly w/u again. Even if I have 2 pay more $$$ 2 fly w/ sum1 else #badcustomerservice"
91,airline,0,@AmericanAir speaking 2 languages paid off! as the US line left me over 70 min in hold -without an answer- the latinamerican solved in 20min
92,airline,0,"@USAirways I didn't Cancelled Flight my flight, you did. Than you loved me to another flight and forgot my bags"
93,airline,1,"@USAirways thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed..."
94,airline,0,@AmericanAir understand waiting 2+ hours for callback on the exec plat line but when call dropped the agent could at least try again
95,airline,0,@USAirways no wonder you are the lowest rated airline in america. #shameful #USAirways
96,airline,0,@USAirways a member of your staff at PHL just gave us excellent customer care. Shame the same couldn't be said for the past 24 hours.
97,airline,0,"@AmericanAir My bag flew with AA while I flew with Delta, and I'm still not sure whose final carrier is referred to."
98,airline,0,"@USAirways due to your expensive change fees either. Out of all the airlines, we chose yours, all do you could screw us. STRANDED!! No help!"
99,airline,0,@SouthwestAir 9 hours at this airport and you can't move a bag from one plane to another! #furious
100,imdb,1,"Having Just ""Welcomed Home"" my 23 YR old daughter from a year in Iraq, Camp Anaconda medical support unit, I felt compelled to get this DVD. I wanted to hear other returning vets feelings in order to attempt to better understand her mentality on arrival and not waiting until after something bad happened. Regardless on your take on the war and peace this movie serves as a great start for all Americans to begin the healing of our returning vets emotional void. The paramount statement of the entire movie is ""Take Action"" on the problem . Incredibly emotional movie. I would highly recommend this movie to the vet the vets entire mature family and ask that they follow through with a plan to listen comfort help the returning Gulf War Enduring Freedom vets.<br /><br />Fast forward nearly one year later & My daughter has seen this DVD. Took account of her emotions and actually has made a commitment to re-up for another 6 years. Her take on her time spent in the sand is that she did some good. Local Balad children got first rate medical treatment for various common ailments not ordinarily able to afford free with an escort and translator. Her look over her shoulder at her Iraq tour was . ""We changed some hearts and minds back there"" Great DVD you have to keep an open mind and see all sides"
101,imdb,1,"I watched this movie after watching Practical Magic, and the older film was far superior. I liked the way the lighting, makeup, and costumes changed as Gillian changed in the story. Jimmy Stewart's mannerisms didn't do a lot for me in this film, but I suppose they did serve to highlight the reserve of Gillian's character. I was also struck by Nicky's and Gillian's mannerisms--it was as if the director wanted him to appear effeminate and Gillian to appear masculine. The gestures Nicky makes when he's showing Redlich his powers especially struck me. I've never thought of warlocks as being effeminate, so it was an interesting way of contrasting those characters."
102,imdb,1,"It is not as great a film as many people believe (including my late aunt, who said it was her favorite movie). But due to the better sections of this film noir, particularly that justifiably famous ""fun house"" finale, THE LADY FROM SHANGHAI has gained a position of importance beyond it's actual worth as a key to the saga of Orson Welles' failure to conquer Hollywood.<br /><br />By 1946 Welles' position as a Hollywood figure was mixed. CITIZEN KANE was not recognized as the great movie it has since been seen as due to the way it was attacked by the Hearst press and by Hollywood insiders themselves. Welles' attempt at total control (direction and production and acting) of his movies seemed to threaten the whole system. His best job in this period was as Edward Rochester in JANE EYRE, supposedly shot by Robert Stevenson, but actually shot in large measure (with Stevenson's blessing) by Welles. But the credit went to Stevenson. Only THE STRANGER, a film benefiting from a postwar interest in fleeing Nazi war criminals, made a profit. For five years in Hollywood it was barely a great record.<br /><br />Welles returned to Broadway in 1946, hoping to recapture his critical abilities by his production of AROUND THE WORLD IN 80 DAYS. But despite the assistance Mike Todd, and Cole Porter composing the score, the musical was a failure. His failure occurred just at the same time that his wife, Rita Hayworth, was on the rise with her portrayal of GILDA. So the marriage was going on the rocks as well.<br /><br />Welles had to make money - his Broadway production had led to his personal bankruptcy. He sold his interest in the possible movie rights to AROUND THE WORLD to Todd (which he would eventually rue), and he also sold the idea of a film about the career of Henri Desire Landru to Charlie Chaplin, who was supposed to be directed in it (and who turned it into MONSIEUR VERDOUX).<br /><br />The story goes that Welles, with a $10,000.00 tax bill to worry about, called Cohn and offered to do a film with Rita for a down payment. Cohn was willing to do so, but naturally asked what the film was. It was a wise question. Welles was on a pay phone in New York in a pharmacy that had a book department. He grabbed a book with the title THE LADY FROM SHANGHAI, and raved that it was a great thriller. Somehow Welles convinced the normally astute Cohn that Welles knew what he was talking about. Cohn said he'd look into getting the rights, and sent Welles his down-payment of $10,000.00. After Cohn hung up Welles bought the book and read it - and found it was really pretty bad. He spent time rewriting a treatment and screenplay that would build up Rita's character of Elsa Bannister.<br /><br />Certainly it has a curious plot development. Michael O'Hara is a seaman/longshoreman. He rescues Elsa Bannister, when she is apparently attacked by gangsters in a park in San Francisco. Elsa is married to Arthur Bannister (Everett Sloane) a crippled criminal lawyer with a great reputation. She convinces him to hire Michael as the skipper of their yacht. The cruise also contains Bannister's sinister partner George Grisby (Glenn Anders) and one Sidney Broome (Ted De Corsia) who turns out to be a detective hired by Bannister to watch Elsa. When they can Michael and Elsa try to find time together, but Broome or Grisby keeps showing up.<br /><br />Grisby makes Michael an offer - he wants (for reasons connected to his so-called fatalistic view of modern society) to drop out of it, pretending to be dead. According to Grisby (the plot becomes murky here) he can still collect his life insurance (although dead?) and use it to run off to the South Seas. He will pay Michael $10,000.00 if he will pretend to shoot Grisby. This includes actually signing a document admitting to the murder (Michael does not realize that such an admission would wipe out the need to produce a corpse if all the other evidence suggests that Grisby is probably dead).<br /><br />Of course Grisby is killed, and Michael is arrested for that, and for the murder of Broome (shot with Michael's gun). Michael is tried with Bannister defending him, and discovers that the latter is doing a second rate job because he wants Michael to be convicted. Michael is convinced that Bannister is the actual murderer, and manages to escape just before the jury verdict. He is knocked out and deposited in a deserted carnival, and this leads to the famous ""fun house"" sequence and the conclusion of the film.<br /><br />It's a terribly confusing movie (as I have had commented on). That does not mean it's not worth seeing - visually it is striking. Witness the fight between Michael and the police in the trial judge's quarters, where he knocks the bailiff into the judge's bookcase, shattering glass. Or the clever use of photography to capture Hayworth diving from a rock, reflected on the lecherous Grisby's binoculars.<br /><br />The acting is pretty good, in particular Sloane (possibly that fine actor's best film role). Glenn Anders was a leading Broadway performer. He rarely made movies before THE LADY FROM SHANGHAI, and his slimy Grisby is unforgettable. Also Ted De Corsia does very nicely with Broome - a detective who is really looking for his own interests, to his own cost.<br /><br />As for Hayworth, she turns in a performance that was unlike most of what she had done before (BLOOD AND SAND, TALES OF MANHATTAN, and THE STRAWBERRY BLOND are exceptions), and is a memorable siren. Welles' O'Hara is a very unusual character for the actor - a likable but naive man who learns the hard way not to believe what he secretly wants to believe. It's not KANE, AMBERSOMS, OTHELLO, TOUCH OF EVIL, or CHIMES AT MIDNIGHT, but it is a good film for all that."
103,imdb,1,"Rock n' roll is a messy business and DiG! demonstrates this masterfully. A project of serious ambition, and perhaps foolhardiness, the filmmaker is able to mend together seven tumultuous years of following around two unwieldy rock groups. With that said, the abundance of quality material ensures the film's ability to captivate the audience. If you've ever been interested in any realm of the music industry, this movie will undoubtedly be an arresting viewing. the music in the film, although it suffers minimally from requisite cutting and pasting, is worth the price of admission alone. the morning after i saw DiG! i went straight to the record store to pick up a Brian Jonestown Massacre album (i was already initiated to the Dandy Warhols' sounds). Primarily defined by its exploration of rock music, the film succeeds at other profound levels. DiG! is a sincere, and sufficiently objective, glance into the destructive and volatile nature of the creative process and the people that try to wrangle those forces."
104,imdb,1,My friends and I saw this at the San Diego Black Film Festival. It was great. Stormy is a strong black woman and Nana reminds me of my grandmother. <br /><br />Rene is FINE!!! Seeing him take off his clothes was definitely worth the price of admission. Can someone forward me his contact info?<br /><br />My friend thinks Flex is the finer of the two. She's been a Flex fan for years though so she might be a little biased. The cousins were funny and just as trifling as Nana described them. LOL.<br /><br />I am looking forward to seeing this movie again when it comes to theaters.
105,imdb,0,"This might have been an excellent flick. However, as many other people think so do I. It is poorly done due to the languages transfer. If the entire movie must be read then it kind of takes away from the movie and becomes something else. It does have an excellent rating as far as I am concerned and I couldn't wait to rent it. But, once I did it was a real let down. Out here in Boardman, Ohio I could not find an English version to anything similar. This movie was also compared to Dark Hours and this we will not get to watch in Boardman, Ohio. It is not available. So I guess we will never know how good the movie actually was."
106,imdb,0,"Its obvious ESPN drools whenever Knight is in the news, but did they have to make a freakin' movie about him? This was THE worst attempt at a serious dramatic movie I have EVER seen. It had it all: terrible acting, terrible dialogue, ridiculous casting, cheap sets, etc etc. It looked like it was shot on a $10 budget. Cummon, whats up with the game scenes? Were they in a middle school gym? And the lighting, well, let me just say it was ridiculous. And Brian Denehy as Bob Knight? Give me a break. Denehey looked like...Denehy in a red sweater, nothing more. ESPN lost a lot of credibility with this flop attempt. They poured millions of $$$ in advertising, then the premier was a huge dissapointment. Bob Knight is not a subject that can be covered in a 2-hour movie. ESPN blew it. Even Knight himself thought it was more stupid than anything else."
107,imdb,1,"PERHAPS in an attempt to find another ""Hot Property"" for adaptation, the Brothers Fleischer thought back to their highly successful foray into the world of the Newspaper Comic Strip with their production of 1933's POPEYE THE SAILOR (Fleischer Studios/Paramount). Although it was a part of the BETTY BOOP Series, Miss B. only made a brief appearance in the short; leaving the rest as a pilot episode for the possible emergence of a full blown series.<br /><br />AS is now common knowledge, the gruff, squinty eyed, brawlin' seaman became perhaps the most successful cartoon series ever; outlasting and literally outliving the Fleischers and their Studio, lasting to this day.<br /><br />RETURNING to King Features for another try at luck was no doubt the reason for trying out the very popular HENRY Comic Strip character in a BETTY BOOP outing; objective being the seeking of another series. The reasoning then surely seemed sound. HENRY was a most popular feature in the Hearst Papers' line-up; appearing as both a Daily and on Sunday's Color Comics Supplement, PUCK, THE COMICS WEEKLY. You know, ""What Fools These Mortals Be!"" Remember that one, Schultz? IN viewing the chubby, little, bald boy Comic Strip 'Hero' and his on screen antics, both solo and in tandem with Miss Betty; we were pleasantly surprised in seeing just how well the character was handled. The story and Director Dave Fleischer both afforded a plethora of comic strip-like situations and sight gags that seemed most appropriate for the character of little Henry. These mostly silent vignettes were very important to the animated film in remaining faithful to the printed page; as the HENRY Feature was mostly done in a sort of 4 color 'mime'.<br /><br />IN the cartoon, titled BETTY BOOP WITH HENRY: THE FUNNIEST LIVING American (Fleischer Studios/Paramount Pictures Corporation, 1935), we see what is; basically being a one situational exercise; being punctuated with the usual array of Dave Fleischer's rapid fire, machine gun-like gags. In short, Henry spots a puppy in the window of Betty Boop's Pet Shop. It is a sort of love at first sight as Henry attempts to purchase the little pup dog with the only money he had, to coins in his pocket. He is in formed by Miss Boop that it would be $2.00 in depression era money to make the purchase. Tears appear as the little guy leaves dejectedly.<br /><br />BUT a reprieve is soon on the horizon as Betty asks the boy to mind the store, while she leaves on urgent business. In return for his services, Miss Betty promises him the little dog in return. Of course, they have a deal and Betty leaves.<br /><br />GETTING to the work of cleaning cages and feeding the livestock affords the opportunity for the Fleischer Crew to fire up a whole new string of gags; this time featuring bird seed, Henry's bald pate and push brooms. (But not all at once of course, Schultz!) Henry's enthusiasm for mass feeding of the store's avian population by first literally seeding his head soon leads to a mass defection of the birds; out of the store to the open street in a mass jail break.<br /><br />BETTY returns to this sight and expresses her disappointment and anger with Henry's temporary custodial care. All bets were off, no doggie for Henry. He begins to leave; dejectedly; but soon convinces the proprietress to give him another shot at fixing things up. His head covered with bird seed, he manages to corral all of the little feathered creatures; returning them to their pet store coop. Happily, the little fella leaves; but this time he has his own affectionate, little, face licking puppy.<br /><br />UNDOUBETLY this was a winning combination. We have the carefree, energy filled, free wheeling of the boy, the kindness of Betty and the emotions of the situation and doubtful outcome of the 'boy and his dog' situation. Max and Dave Fleischer had given us a sort of almost minor mini-masterpiece of a surreal comedy short.<br /><br />WE were quite surprised that no HENRY Series followed. Judging by the fairly faithful treatment of the character, it certainly could have been sustained for some time. At any rate, this teaming was in many ways the best of the Betty Boop try out pictures. Although the first, POPEYE THE SAILOR (Fleischer/Paramount, 1933), was the most successful (and barely had any Betty Boop in it, save for a cameo as a carnival hula dancer); the HENRY Short was much better than the two following King Features ""tryouts"", BETTY BOOP AND THE LITTLE KING and BETTY BOOP AND LITTLE JIMMY, both 1936.<br /><br />POODLE SCHNITZ!!"
108,imdb,0,"I have always been interested in anything about Bigfoot, so when I was browsing around looking for a movie to rent, this one caught my eye. It was the WORST $4.50 I've ever spent and I want my money back! Please don't waste your money on this!! This was one of the cheapest movies I've ever seen. The entire movie was so incredibly boring and I found myself rolling my eyes a lot and I didn't even watch it all the way through. I just got fed up with it. The acting was horrible, the effects were horrible, everything was just really bad and tasteless. It all added up to be a really bad, boring movie and total waste of time and money. I hope that one day they'll make a good movie about Sasquatch, but until then, I'll have to sit through countless cheap duds like this one to find the real masterpiece."
109,imdb,1,"Nothing short of magnificent photography/cinematography in this film. The fact that you keep seeking and hoping for more flying sequences, tells you that they have just enough. The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid.............<br /><br />A must rent, view, or see.<br /><br />Don't be afraid of subtitles........<br /><br />its worth a little aversion therapy<br /><br />10/10<br /><br />"
110,imdb,1,"Although perhaps not as entertaining as some of Herzog's work, Little Dieter is another fine film by one of the world's greatest film artists. Departing from Herzog's usual themes, Little Dieter is a fascinating and uplifting character study about a brave man and his efforts to go on living after a life-alteringly traumatic experience. <br /><br />Dieter Dengler wanted to fly from a very young age, and the Viet Nam war gave him that opportunity, but instead of spending the war soaring in a cockpit, he spent most of it grounded as a POW. Dieter tells most of his story eloquently and passionately, with occasional help from Herzog. Herzog does very little voice over this time, but contributes a lot of subtly powerful soundscaping and visuals - which should be no surprise to those familiar with him.<br /><br />Dengler is a fascinating and extremely likable person. As human and as alive as they come, I found the story of his life and his incorrigibly upbeat personality to be inspiring. Thanks to Herzog for (re)introducing him to us.<br /><br />The scale of the film is not as sprawling, and the drama is not as fierce as many of the early films that made Herzog a force to be reckoned with. Nevertheless, I strongly recommend this to his fans and to those who enjoy documentaries. It's a very interesting and well executed film."
111,imdb,1,"When ""The Net"" was first being advertised, the ads made it look ridiculous. Then, when I saw it, it was actually quite good. Angela Bennett (Sandra Bullock) spends her days working on the computer and has never gotten to know her neighbors. Then, through a series of events, her identity gets erased by a cabal of shadowy people, and she can't prove that she exists.<br /><br />Some parts of the movie are a little bit far-fetched; you'd probably know which parts if you saw the movie. Still, it's a good look into what the existence of the Internet may have wrought on unsuspecting people. I do recommend it."
112,imdb,0,"When you make a film with a killer-kids premise, there are two effective ways to approach it; you can either make it as realistic as possible, creating believable characters and situations, or you can make it as fun as possible by playing it for laughs (something which the makers of ""Silent Night, Deadly Night"" did, for example, on an equally controversial subject: a killer Santa). The people who made ""Bloody Birthday"", however, do neither of those things; they simply rely on the shock value of the image of a kid with a gun (or a knife, or a noose, or an arrow) in his/her hand. The result is both offensive and stupid. The whole film looks like a bad idea that was rushed through production (and then kept from release for several years). It's redeemed a tiny bit by good performances from the kids, but it's VERY sloppily made. (*1/2)"
113,imdb,0,"This has to be one of the worst movies I've ever seen in my life. I can't believe people actually a) write scripts like this b) have a budget to make a film c) actually expect it to be successful. Words can't even describe how horrible this film is. I enjoy my fair share of teen movies, but this didn't even come close to being funny. In fact, it was funny for the sole reason that it was so horrible. I can probably count one (maybe two) parts in the film where I even managed to squeeze out a chuckle (other than the laughs regarding how bad it was).<br /><br />Renting this was one of the biggest mistakes I've ever made. Its been a day since I've seen the film, and I'm still in shock regarding how horrible it was. Avoid at all costs.<br /><br />2/10"
114,imdb,1,"Way back in 1955, the British made a comedy called Simon and Laura, with Peter Finch and the brilliant Kay Kendall. To this day, it stands as one of the finest examples of British comedy and, more particularly, about how television sitcoms become so popular. It was, and is, an excellent example also of self-referential cinema.<br /><br />So also Soapdish, a film I'd never heard about until a few nights ago when I caught it on late TV. I was a bit dubious at first simply because comedy is so difficult to do well, as you know.<br /><br />However, I was pleasantly surprised and delighted to watch a very clever satire about daytime American TV. In fact, it's been a while since I laughed so heartily. So, if you like satire, I'd recommend you see it.<br /><br />The main actors  Sally Field, Kevin Kline, Robert Downey and Cathy Moriarty  quite simply do an excellent job, revealing just how bitchy and shallow the business of acting is. As I watched it, I kept thinking to myself: just how much of this bitchiness carries over into real life? That is, if actors ever do have a real life? As you probably know, Peter Sellers, for example, was notorious for hiding his true persona behind a multitude of characters, so that nobody really knew the real person. So, as I watched Sally Field playing Celeste Talbot playing Maggie, I thought again about that earlier British film with Kay Kendall playing Laura playing a character in a TV sitcom opposite Peter Finch...<br /><br />Is it any wonder that some actors have nervous breakdowns? And that feeling was crystallized when Celeste finally confronts her daughter (Lori, played by Elizabeth Shue) and, in an emotional moment, repeats the fictional lines she'd used, on a prior episode of her daytime soap, when confronting her fictional daughter in that show! Are you confused? Well, it's not all like that, but the dialog is stunning for originality, comedy, bitchiness, anger, depravity, duplicity, and even...love.<br /><br />The story? Well, there are many stories in this film, all interwoven, and which all come together at the end (of course  but not like a Robert Altman film, okay!), and not all of them are resolved finally. Life's not like that anyway, right? The pace is almost frenetic, and you really do have to watch and listen carefully to catch all the sight gags and subtle jokes. Spend the 97 minutes from your life and watch it; you won't regret the time usage.<br /><br />The rest of the cast all perform well, although I've never taken much to Whoopi Goldberg. Perhaps the funniest exchanges are between Robert Downey and Cathy Moriarty and, for my money, the latter steals so many scenes from others, she gets my vote as the outstanding player. I kid you not, she gives the term bitch an entirely new face..."
115,imdb,1,"Vampires, sexy guys, guns and some blood. Who could ask for more? Moon Child delivers it all in one nicely packaged flick! Gackt is the innocent Sho - who befriends a Vampire Kei (HYDE), their relationship grows with time but as Sho ages, Kei's immortality breaks his heart. It doesn't help that they both fall in love with the same woman. The special effects are pretty good considering the small budget. It's a touching story ripe with human emotions. You will laugh, cry, laugh, then cry some more. Even if you are not a fan of their music, SEE THIS FILM. It works great as a stand alone Vampire movie.<br /><br />9 out of 10"
